Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	390	-6.432615E-05	4.619549E-06
900	390.25	-6.995294E-05	5.508322E-06
900	390.5	-6.475622E-05	6.174802E-06
900	390.75	-5.887854E-05	5.188264E-06
900	391	-6.249831E-05	5.335513E-06
900	391.25	-7.066968E-05	4.55347E-06
900	391.5	-6.303588E-05	4.940727E-06
900	391.75	-6.873434E-05	4.587443E-06
900	392	-5.94161E-05	4.550835E-06
900	392.25	-6.461282E-05	5.221139E-06
900	392.5	-5.776747E-05	4.581932E-06
900	392.75	-7.203156E-05	5.578987E-06
900	393	-6.76233E-05	6.226617E-06
900	393.25	-7.23541E-05	5.045072E-06
900	393.5	-6.335839E-05	4.18382E-06
900	393.75	-6.14589E-05	4.648108E-06
900	394	-6.196064E-05	4.55265E-06
900	394.25	-6.941521E-05	3.219652E-06
900	394.5	-6.70498E-05	4.162888E-06
900	394.75	-5.468522E-05	4.201807E-06
900	395	-6.002529E-05	3.365275E-06
900	395.25	-6.826832E-05	4.549637E-06
900	395.5	-7.568706E-05	4.372139E-06
900	395.75	-6.783824E-05	6.855377E-06
900	396	-6.493524E-05	4.655912E-06
900	396.25	-5.486437E-05	4.182825E-06
900	396.5	-7.059781E-05	5.678229E-06
900	396.75	-6.443345E-05	5.05388E-06
900	397	-5.884252E-05	4.259069E-06
900	397.25	-5.837659E-05	5.088383E-06
900	397.5	-7.059778E-05	4.237937E-06
900	397.75	-6.317905E-05	5.670808E-06
900	398	-6.321487E-05	5.694401E-06
900	398.25	-6.339406E-05	5.600698E-06
900	398.5	-6.586695E-05	3.967959E-06
900	398.75	-5.941589E-05	3.866234E-06
900	399	-6.436168E-05	4.894346E-06
900	399.25	-6.045519E-05	6.270518E-06
